-1166, -756, 16326, 312, -57, -232
-1100, -556, -16190, -184, 144, -203
-1142, -828, -16180, -184, 140, -192
-1164, -858, -16154, -14, 124, -159
-1194, -724, -16124, -263, 50, -151
-980, -820, -16216, -201, 28, -149
-974, -956, -16202, -37, 137, -162
-1036, -694, -16106, 61, 125, -159
-1146, -660, -16098, -132, 60, -247
-1090, -852, -16194, -218, 65, -252
-1124, -820, -15976, -147, 107, -231
-1174, -766, -16100, -179, 39, -229
-1136, -848, -16046, -142, 51, -232
-1114, -814, -16214, -85, 69, -206
-1142, -736, -16202, -86, 76, -218
-1062, -792, -16136, -115, 62, -219
-1218, -742, -16172, -191, 78, -223
-1120, -752, -16144, -205, 91, -233
-1184, -802, -16090, -124, 66, -222
-1160, -820, -16220, -113, 69, -208
-1204, -768, -16154, -120, 76, -186
-1146, -802, -16112, -101, 21, -223
-1032, -810, -16242, -119, 79, -198
-1056, -744, -16220, -333, 296, -160
-1412, -894, -16042, -278, 324, 23
-1236, -872, -16148, 54, 44, 43
-1386, -912, -16196, -164, 293, -99
-1544, -622, -16060, -34, -473, -207
-698, -428, -16286, -152, -388, -15
-1004, -786, -16378, -482, 630, 402
-1724, -1036, -15812, -465, 299, 962
-1038, -1096, -15868, 57, -569, 1159
-484, -620, -16290, 212, -94, 903
-128, 44, -15910, 505, -114, -203
-776, -194, 16092, -751, 996, -323
-1734, -1110, -15854, -567, 271, -383
-1124, -1054, -15998, 20, -318, -295
-856, -594, 16230, -230, 460, -165
-1262, -750, -16050, -325, 569, -188
-1146, -988, -16110, -50, 226, -251
-1092, -810, -16164, -65, 579, -182
-1312, -678, -16056, 22, 402, -186
-1308, -722, -16036, -245, 103, -236
-1192, -896, -16310, -170, 13, -218
-1242, -668, -16062, -155, 15, -206
-1176, -804, -16198, -130, 47, -221
-1172, -774, -16050, -157, 48, -229
-1242, -762, -16358, -150, 32, -232
-1216, -784, -16138, -175, 89, -228
-1230, -732, -16108, -204, 58, -225
-1194, -818, -16264, -168, -5, -239
-1122, -772, -16188, -121, 66, -234
-1154, -670, -16168, -125, 44, -227
-1132, -852, -16278, -143, 43, -231
-1250, -822, -16096, -161, 61, -250
-1204, -778, -16068, -163, 61, -233
-1168, -766, -16150, -172, 45, -234
-1156, -746, -16192, -156, 46, -234
-1154, -702, -16196, -146, 55, -236
-1204, -822, -16168, -116, 64, -237
-1160, -692, -16136, -183, 52, -256
-1146, -756, -16208, -181, 65, -224
-1204, -804, -16122, -158, 46, -245
-1234, -748, -16228, -176, 62, -233
-1246, -768, -16100, -181, 56, -240
-1304, -758, -16126, -152, 73, -234
-1278, -712, -16180, -156, 62, -238
-1170, -728, -16232, -158, 45, -229
-1222, -818, -16174, -165, 53, -225
-1150, -738, -16118, -187, 45, -234
-1194, -748, -16054, -176, 54, -228
-1200, -748, -16116, -134, 55, -234
-1224, -684, -16112, -154, 43, -227
-1184, -772, -16182, -179, 53, -226
-1244, -698, -16146, -140, 71, -239
-1196, -776, -16168, -159, 67, -226
-1190, -656, -16030, -146, 88, -224
-1228, -768, -16220, -145, 48, -215
-1164, -838, -16158, -155, 39, -232
-1178, -690, -16140, -154, 89, -226
-1302, -752, -16152, -155, 59, -245
-1172, -776, -16184, -150, 49, -231
-1188, -746, -16078, -140, 54, -237
-1182, -792, -16150, -171, 23, -220
-1130, -780, -16276, -112, 68, -215
-1178, -774, -16236, -178, 31, -224
-1206, -776, -16126, -127, 49, -234
-1190, -756, -16136, -210, 52, -216
-1238, -766, -16090, -112, 58, -224
-1162, -754, -16076, -184, 44, -226
-1218, -784, -16058, -116, 61, -224
-1196, -752, -16164, -200, 46, -215
-1196, -776, -16262, -126, 58, -240
-1220, -742, -16092, -169, 57, -239
-1236, -752, -16136, -152, 49, -236
-1140, -790, -16242, -172, 74, -246
-1196, -770, -16152, -138, 64, -231
-1198, -742, -16124, -175, 59, -233
-1158, -738, -16194, -156, 48, -227
-1208, -764, -16078, -170, 41, -219
-1158, -708, -16126, -158, 60, -241
-1196, -828, -16108, -175, 53, -231
-1242, -726, -16208, -148, 35, -232
-1164, -776, -16048, -158, 43, -218
-1202, -784, -16116, -151, 41, -231
